_id,Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
30062,2020,Jan-Mar,1050050,6040754,313278,Black,F,Aged 25 to 34 years,Not a youth,51,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,None,None,None,None,None,30062
30063,2020,Oct-Dec,1013118,6056206,313278,Black,F,Aged 25 to 34 years,Not a youth,41,,,Mischief & Fraud,,,,,,,None,None,None,None,None,30063
30064,2021,Oct-Dec,1030576,6002151,313278,Black,F,Aged 25 to 34 years,Not a youth,51,,,Mischief,,,,,,1,None,None,None,None,None,30064
30065,2021,Oct-Dec,1002242,6047022,313278,Black,F,Aged 25 to 34 years,Not a youth,14,,1,Mischief,,,,,,,None,None,None,None,None,30065
30066,2021,Jan-Mar,1014637,6037503,300281,White,M,Aged 17 years and under,Youth (aged 17 years and under),13,,,Break and Enter,,,,,,1,None,None,None,None,None,30066
30067,2021,Oct-Dec,1006744,6056943,308610,East/Southeast Asian,F,Aged 55 to 64 years,Not a youth,XX,,,Assault,,,,,,1,None,None,None,None,None,30067
30068,2020,Oct-Dec,1023177,6014561,305101,Unknown or Legacy,M,Aged 55 to 64 years,Not a youth,XX,,,Other Statute & Other Incident Type,,,,,,1,None,None,None,None,None,30068
30069,2020,Jan-Mar,1035871,6003697,328247,White,F,Aged 35 to 44 years,Not a youth,XX,,,Robbery & Theft,,,,,,,None,None,None,None,None,30069
30070,2020,July-Sept,1009294,6045373,328247,White,F,Aged 35 to 44 years,Not a youth,XX,,1,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,30070
30071,2020,July-Sept,1029299,6050335,328247,White,F,Aged 35 to 44 years,Not a youth,31,1,1,Vehicle Related (inc. Impaired),,,,,,1,1,0,0,1,0,30071
30072,2020,Oct-Dec,1049106,6020004,328247,White,F,Aged 35 to 44 years,Not a youth,XX,,,Robbery & Theft,,,,,,1,None,None,None,None,None,30072
30073,2020,Oct-Dec,1029299,6062131,328247,White,F,Aged 35 to 44 years,Not a youth,XX,,1,Vehicle Related (inc. Impaired),,,,,,,None,None,None,None,None,30073
30074,2021,Jan-Mar,1010696,6030168,328247,White,F,Aged 35 to 44 years,Not a youth,XX,,,Robbery/Theft,,,,,,,None,None,None,None,None,30074
30075,2021,Apr-June,1001724,6008033,328247,White,F,Aged 35 to 44 years,Not a youth,12,,1,Police Category - Administrative,,,,,,,None,None,None,None,None,30075
30076,2020,Apr-June,1017161,6031264,331523,White,M,Aged 25 to 34 years,Not a youth,32,,1,Other Statute & Other Incident Type,,,,,,,None,None,None,None,None,30076
