_id,Arrest_Year,Arrest_Month,EventID,ArrestID,PersonID,Perceived_Race,Sex,Age_group__at_arrest_,Youth_at_arrest__under_18_years,ArrestLocDiv,StripSearch,Booked,Occurrence_Category,Actions_at_arrest___Concealed_i,Actions_at_arrest___Combative__,Actions_at_arrest___Resisted__d,Actions_at_arrest___Mental_inst,Actions_at_arrest___Assaulted_o,Actions_at_arrest___Cooperative,SearchReason_CauseInjury,SearchReason_AssistEscape,SearchReason_PossessWeapons,SearchReason_PossessEvidence,ItemsFound,ObjectId
1,2020,July-Sept,1005907,6017884,326622,White,M,Aged 35 to 44 years,Not a youth,54,,1,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,1
2,2020,July-Sept,1014562,6056669,326622,White,M,Aged 35 to 44 years,Not a youth,54,,1,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,2
3,2020,Oct-Dec,1029922,6057065,326622,Unknown or Legacy,M,Aged 35 to 44 years,Not a youth,54,,1,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,3
4,2021,Jan-Mar,1052190,6029059,327535,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Harassment/Threatening,,,,,,,None,None,None,None,None,4
5,2021,Jan-Mar,1015512,6040372,327535,South Asian,M,Aged 25 to 34 years,Not a youth,XX,,1,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,5
6,2021,Apr-June,1019145,6060688,327535,South Asian,M,Aged 25 to 34 years,Not a youth,42,,1,Assault,,,,,,1,None,None,None,None,None,6
7,2021,Jan-Mar,1035445,6053833,330778,Black,M,Aged 25 to 34 years,Not a youth,52,,1,Assault,,,,,,,None,None,None,None,None,7
8,2021,Jan-Mar,1050464,6063477,330778,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,1,None,None,None,None,None,8
9,2021,Jan-Mar,1045486,6053929,330778,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,1,None,None,None,None,None,9
10,2021,Apr-June,1012287,6004570,330778,Black,M,Aged 25 to 34 years,Not a youth,14,,1,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,10
11,2021,Apr-June,1056655,6032326,330778,Black,M,Aged 25 to 34 years,Not a youth,51,,1,FTA/FTC/Compliance Check/Parollee,,,,,,1,None,None,None,None,None,11
12,2021,Apr-June,1040382,6054934,330778,Black,M,Aged 25 to 34 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,12
13,2021,Apr-June,1039002,6030241,330778,Black,M,Aged 25 to 34 years,Not a youth,53,1,1,Sexual Related Crime,,,,,,1,1,1,1,0,0,13
14,2021,Oct-Dec,1022468,6047871,328630,Indigenous,M,Aged 45 to 54 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,14
15,2020,Apr-June,1045382,6057058,312724,Black,M,Aged 25 to 34 years,Not a youth,53,1,1,Mischief & Fraud,,,,,,,1,1,1,0,0,15
16,2020,Apr-June,1050824,6033193,312724,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,53,,,Mischief & Fraud,,,,,,1,None,None,None,None,None,16
17,2020,Apr-June,1015394,6038801,312724,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,53,,1,Warrant,,,,,,1,None,None,None,None,None,17
18,2020,Apr-June,1015501,6022720,312724,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,53,,,Mischief & Fraud,,,,,,1,None,None,None,None,None,18
19,2020,Apr-June,1032392,6054743,312724,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,52,,1,Mischief & Fraud,,,,,,1,None,None,None,None,None,19
20,2020,Oct-Dec,1031809,6048710,312724,Middle-Eastern,M,Aged 25 to 34 years,Not a youth,XX,,,Mischief & Fraud,,,,,,1,None,None,None,None,None,20
21,2021,Oct-Dec,1035105,6056470,312724,Middle-Eastern,M,Aged 25 to 34 years,Not a youth,53,,1,Police Category - Administrative,,,,,,,None,None,None,None,None,21
22,2020,Apr-June,1041209,,312724,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,XX,1,,Robbery & Theft,,,,,,,1,0,0,0,0,22
23,2020,Jan-Mar,1035486,6064779,324224,Black,M,Aged 45 to 54 years,Not a youth,31,,1,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,23
24,2021,Oct-Dec,1024066,6039028,302537,White,M,Aged 25 to 34 years,Not a youth,42,,1,Assault,,,,,,,None,None,None,None,None,24
25,2020,Jan-Mar,1041111,6046989,305813,Black,M,Aged 25 to 34 years,Not a youth,52,,,"FTA/FTC, Compliance Check & Parollee",,,,,,,None,None,None,None,None,25
26,2020,Oct-Dec,1001752,6051933,323720,White,M,Aged 35 to 44 years,Not a youth,51,,1,Drug Related,,,,,,,None,None,None,None,None,26
27,2020,July-Sept,1050474,6025215,304162,White,M,Aged 35 to 44 years,Not a youth,11,,1,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,27
28,2021,Apr-June,1027472,6024849,313589,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Weapons,,,,,,,None,None,None,None,None,28
29,2021,Jan-Mar,1026253,6020856,310081,White,M,Aged 55 to 64 years,Not a youth,XX,,,Assault,,,,,,1,None,None,None,None,None,29
30,2020,July-Sept,1058726,6033045,317035,South Asian,M,Aged 25 to 34 years,Not a youth,XX,,,Vehicle Related (inc. Impaired),,,,,,1,None,None,None,None,None,30
31,2020,Oct-Dec,1057570,6047017,318141,Black,M,Aged 25 to 34 years,Not a youth,12,,1,Other Offence,,,,,,,None,None,None,None,None,31
32,2021,Oct-Dec,1045293,6056618,318141,Black,M,Aged 25 to 34 years,Not a youth,12,,,Assault,,,,,,1,None,None,None,None,None,32
33,2020,Oct-Dec,1036993,6040799,328703,South Asian,M,Aged 35 to 44 years,Not a youth,XX,,1,Vehicle Related (inc. Impaired),,,,,,1,None,None,None,None,None,33
34,2021,Jan-Mar,1026070,6064426,323427,White,M,Aged 35 to 44 years,Not a youth,53,1,1,Weapons,,,,,,1,0,0,1,1,0,34
35,2021,July-Sept,1040781,6010230,326609,White,F,Aged 25 to 34 years,Not a youth,51,,,Assault,,,,,,,None,None,None,None,None,35
36,2020,July-Sept,1023568,6047677,313315,White,M,Aged 25 to 34 years,Not a youth,42,,,"FTA/FTC, Compliance Check & Parollee",,,,,,1,None,None,None,None,None,36
37,2021,July-Sept,1017148,6009977,313315,White,M,Aged 25 to 34 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,37
38,2020,Jan-Mar,1001010,6057542,319209,White,M,Aged 35 to 44 years,Not a youth,13,,1,Warrant,,,,,,1,None,None,None,None,None,38
39,2020,Apr-June,1028958,6057012,319209,Latino,M,Aged 18 to 24 years,Not a youth,XX,1,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,1,0,1,0,0,39
40,2020,July-Sept,1013654,6059866,319209,Latino,M,Aged 18 to 24 years,Not a youth,13,,1,Harassment & Threatening,,,,,,,None,None,None,None,None,40
41,2020,Oct-Dec,1014800,6013088,319209,Latino,M,Aged 18 to 24 years,Not a youth,XX,,,Weapons & Homicide,,,,,,,None,None,None,None,None,41
42,2021,Apr-June,1036454,6035289,316900,White,F,Aged 25 to 34 years,Not a youth,41,,1,Robbery/Theft,,,,,,,None,None,None,None,None,42
43,2020,July-Sept,1026364,6027584,316419,South Asian,F,Aged 25 to 34 years,Not a youth,52,1,1,Assault & Other crimes against persons,,,,,,,1,0,0,0,0,43
44,2020,July-Sept,1031462,6032583,316419,South Asian,F,Aged 25 to 34 years,Not a youth,XX,,,"FTA/FTC, Compliance Check & Parollee",,,,,,,None,None,None,None,None,44
45,2020,Oct-Dec,1026190,6048361,316419,South Asian,F,Aged 25 to 34 years,Not a youth,14,1,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,1,0,0,0,0,45
46,2020,Oct-Dec,1059547,6041087,316419,South Asian,F,Aged 25 to 34 years,Not a youth,51,,1,Warrant,,,,,,,None,None,None,None,None,46
47,2021,Apr-June,1048449,6038901,316419,Unknown or Legacy,F,Aged 25 to 34 years,Not a youth,51,,1,FTA/FTC/Compliance Check/Parollee,,,,,,1,None,None,None,None,None,47
48,2021,Apr-June,1005274,6051849,316419,East/Southeast Asian,F,Aged 25 to 34 years,Not a youth,51,,1,Assault,,,1,1,,,None,None,None,None,None,48
49,2021,Apr-June,1005468,6004549,316419,East/Southeast Asian,F,Aged 25 to 34 years,Not a youth,52,,,FTA/FTC/Compliance Check/Parollee,,,,,,1,None,None,None,None,None,49
50,2021,Apr-June,1009512,6032809,316419,East/Southeast Asian,F,Aged 25 to 34 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,50
51,2020,Jan-Mar,1052121,6060005,322990,White,F,Aged 55 to 64 years,Not a youth,XX,,,Robbery & Theft,,,,,,,None,None,None,None,None,51
52,2021,Oct-Dec,1023008,6034685,324772,White,M,Aged 25 to 34 years,Not a youth,XX,,,Warrant,,,,,,,None,None,None,None,None,52
53,2020,Apr-June,1044055,,324772,White,M,Aged 25 to 34 years,Not a youth,XX,1,,Warrant,,,,,,,1,1,1,1,0,53
54,2021,Jan-Mar,1017605,6053067,315156,White,M,Aged 55 to 64 years,Not a youth,XX,,,Break and Enter,,,,,,1,None,None,None,None,None,54
55,2021,Jan-Mar,1040910,6001568,311889,White,F,Aged 35 to 44 years,Not a youth,22,,1,Assault,,,,,,,None,None,None,None,None,55
56,2021,July-Sept,1046753,6048174,311889,White,F,Aged 35 to 44 years,Not a youth,XX,,,Mischief,,,,,,,None,None,None,None,None,56
57,2021,July-Sept,1047514,6039061,311889,White,F,Aged 35 to 44 years,Not a youth,22,1,1,FTA/FTC/Compliance Check/Parollee,,,,,,,1,0,0,1,1,57
58,2021,Apr-June,1040228,6059513,335169,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,42,,1,Robbery/Theft,,,,,,1,None,None,None,None,None,58
59,2021,Jan-Mar,1003364,6032564,303000,White,F,Aged 35 to 44 years,Not a youth,22,1,1,Drug Related,,,,,,,1,0,0,1,0,59
60,2021,Jan-Mar,1007308,6058105,303000,White,F,Aged 35 to 44 years,Not a youth,11,,1,Police Category - Administrative,,,,,,1,None,None,None,None,None,60
61,2020,Jan-Mar,1005335,6022634,312083,Black,F,Aged 35 to 44 years,Not a youth,31,,1,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,61
62,2020,Oct-Dec,1008283,6048825,300327,Black,M,Aged 18 to 24 years,Not a youth,12,,1,Drug Related,,,,,,,None,None,None,None,None,62
63,2020,Jan-Mar,1023942,6049579,315196,Black,F,Aged 25 to 34 years,Not a youth,51,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,None,None,None,None,None,63
64,2020,July-Sept,1018975,6027759,315196,Black,F,Aged 25 to 34 years,Not a youth,41,,1,Weapons & Homicide,,,,,,,None,None,None,None,None,64
65,2021,Oct-Dec,1006650,6034345,329864,Black,M,Aged 18 to 24 years,Not a youth,13,,1,Assault,,,,,,,None,None,None,None,None,65
66,2020,July-Sept,1029642,6056350,322697,Unknown or Legacy,M,Aged 35 to 44 years,Not a youth,XX,,,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,66
67,2021,July-Sept,1054182,6063205,324594,White,M,Aged 18 to 24 years,Not a youth,52,,,Assault,,,,,,,None,None,None,None,None,67
68,2020,July-Sept,1033616,6027489,322844,Middle-Eastern,M,Aged 25 to 34 years,Not a youth,XX,,,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,68
69,2020,Oct-Dec,1014134,6062709,331769,East/Southeast Asian,M,Aged 45 to 54 years,Not a youth,41,,1,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,69
70,2020,Jan-Mar,1036208,6012495,304079,South Asian,M,Aged 45 to 54 years,Not a youth,51,1,1,Break & Enter,,,,,,1,1,1,0,0,0,70
71,2021,Jan-Mar,1058872,6050185,304079,East/Southeast Asian,M,Aged 55 to 64 years,Not a youth,51,,1,Police Category - Administrative,,,,,,,None,None,None,None,None,71
72,2021,Oct-Dec,1021349,6062288,315627,White,M,Aged 25 to 34 years,Not a youth,XX,,1,Break and Enter,,,,,,,None,None,None,None,None,72
73,2020,July-Sept,1017524,6048366,311239,Middle-Eastern,M,Aged 25 to 34 years,Not a youth,XX,,,Vehicle Related (inc. Impaired),,,1,,,,None,None,None,None,None,73
74,2020,Jan-Mar,1001763,6033919,335938,White,M,Aged 25 to 34 years,Not a youth,54,1,1,Weapons & Homicide,,,,,,,1,1,1,1,0,74
75,2020,Jan-Mar,1017129,6027426,335938,White,M,Aged 25 to 34 years,Not a youth,54,,1,Warrant,,,,,,1,None,None,None,None,None,75
76,2021,Jan-Mar,1022443,6030612,335938,White,M,Aged 25 to 34 years,Not a youth,54,,,Harassment/Threatening,,,,1,,,None,None,None,None,None,76
77,2020,July-Sept,1017512,6011156,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,XX,,,Harassment & Threatening,,1,1,,,,None,None,None,None,None,77
78,2020,Oct-Dec,1043664,6031727,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,51,,,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,78
79,2021,Apr-June,1008304,6048094,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,XX,,,Police Category - Administrative,,,,,,,None,None,None,None,None,79
80,2021,Apr-June,1030399,6030533,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,80
81,2021,July-Sept,1042068,6013610,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,51,,,Mischief,,1,,,,,None,None,None,None,None,81
82,2021,Oct-Dec,1037508,6031338,320408,Unknown or Legacy,M,Aged 45 to 54 years,Not a youth,51,,,Mischief,,,,,,1,None,None,None,None,None,82
83,2020,Jan-Mar,1018920,6052111,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Warrant,,,,,,1,None,None,None,None,None,83
84,2020,Jan-Mar,1033870,6018672,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,1,,Warrant,,,,,,,1,1,0,0,0,84
85,2020,Jan-Mar,1001375,6016930,319289,Black,M,Aged 18 to 24 years,Not a youth,53,1,1,Assault & Other crimes against persons,,1,,,,,0,0,0,0,0,85
86,2020,Apr-June,1057321,6027151,319289,Black,M,Aged 18 to 24 years,Not a youth,51,1,1,Other Offence,,,,,,1,0,0,0,0,0,86
87,2020,Apr-June,1017370,6010139,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Robbery & Theft,,,,,,1,None,None,None,None,None,87
88,2020,Apr-June,1059990,6030848,319289,Black,M,Aged 18 to 24 years,Not a youth,51,1,1,Sexual Related Crimes & Crimes Against Children,,1,,,1,,1,1,0,1,0,88
89,2020,July-Sept,1049528,6034004,319289,Black,M,Aged 18 to 24 years,Not a youth,51,1,1,Warrant,,,,,,1,0,0,0,0,0,89
90,2020,July-Sept,1004744,6041395,319289,Black,M,Aged 18 to 24 years,Not a youth,51,1,1,"FTA/FTC, Compliance Check & Parollee",,1,,1,,,0,0,0,0,1,90
91,2020,July-Sept,1003329,6018878,319289,Black,M,Aged 18 to 24 years,Not a youth,52,1,1,Assault & Other crimes against persons,,,,,,,1,1,0,1,1,91
92,2020,July-Sept,1018905,6055400,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Other Offence,,,,,,,None,None,None,None,None,92
93,2020,Oct-Dec,1021546,6057271,319289,Black,M,Aged 18 to 24 years,Not a youth,13,,,Warrant,,,,,,,None,None,None,None,None,93
94,2020,Oct-Dec,1016728,6019520,319289,Black,M,Aged 18 to 24 years,Not a youth,51,,1,Robbery & Theft,,,,,,,None,None,None,None,None,94
95,2020,Oct-Dec,1017262,6035149,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Warrant,,1,1,,,,None,None,None,None,None,95
96,2021,Jan-Mar,1015011,6025404,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Drug Related,,,,,,,None,None,None,None,None,96
97,2021,Jan-Mar,1041835,6046184,319289,Black,M,Aged 18 to 24 years,Not a youth,XX,,1,Robbery/Theft,,,,1,,1,None,None,None,None,None,97
98,2021,Jan-Mar,1029665,6046224,319289,Black,M,Aged 18 to 24 years,Not a youth,55,,1,Robbery/Theft,,,,,,1,None,None,None,None,None,98
99,2021,Oct-Dec,1046409,6001204,309169,Black,M,Aged 25 to 34 years,Not a youth,12,,1,Break and Enter,,,,,,1,None,None,None,None,None,99
100,2020,Jan-Mar,1053440,6051982,331766,Unknown or Legacy,M,Aged 35 to 44 years,Not a youth,52,,,Weapons & Homicide,,,,,,,None,None,None,None,None,100
101,2020,Apr-June,1045900,6022768,302516,South Asian,M,Aged 25 to 34 years,Not a youth,42,,1,Vehicle Related (inc. Impaired),,,,,,,None,None,None,None,None,101
102,2021,Oct-Dec,1029220,6037659,311437,White,M,Aged 18 to 24 years,Not a youth,43,,1,Drug Related,,,,,,,None,None,None,None,None,102
103,2021,Jan-Mar,1048673,6004321,327247,White,F,Aged 45 to 54 years,Not a youth,XX,,,Robbery/Theft,,,,,,,None,None,None,None,None,103
104,2020,Oct-Dec,1026931,6060374,310317,Black,F,Aged 35 to 44 years,Not a youth,12,,1,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,104
105,2020,July-Sept,1017478,6051878,332920,White,M,Aged 55 to 64 years,Not a youth,XX,,,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,105
106,2020,Jan-Mar,1004287,6047023,311652,Black,F,Aged 25 to 34 years,Not a youth,54,,1,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,106
107,2021,Jan-Mar,1052352,6057972,311652,Black,F,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,1,None,None,None,None,None,107
108,2021,Apr-June,1041836,6039685,311652,Black,F,Aged 25 to 34 years,Not a youth,31,,1,Assault,,,,,1,,None,None,None,None,None,108
109,2021,Apr-June,1025522,6063516,311652,Black,F,Aged 25 to 34 years,Not a youth,23,,,Assault,,,,,,,None,None,None,None,None,109
110,2021,Apr-June,1045234,6061184,311652,Black,F,Aged 25 to 34 years,Not a youth,51,,1,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,110
111,2021,Apr-June,1018611,6036804,311652,Black,F,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,1,None,None,None,None,None,111
112,2021,Apr-June,1032276,6026908,311652,Black,F,Aged 25 to 34 years,Not a youth,23,,1,FTA/FTC/Compliance Check/Parollee,,1,,1,,,None,None,None,None,None,112
113,2021,July-Sept,1020878,6004171,311652,Black,F,Aged 25 to 34 years,Not a youth,51,,1,Crimes against Children,,,,,,,None,None,None,None,None,113
114,2020,Jan-Mar,1057809,6009581,317100,White,M,Aged 35 to 44 years,Not a youth,XX,,,Warrant,,,,,,,None,None,None,None,None,114
115,2021,Apr-June,1058103,6011981,303171,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Weapons,,,,,,,None,None,None,None,None,115
116,2021,Oct-Dec,1058942,6057918,303171,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Police Category - Incident,,,,,,,None,None,None,None,None,116
117,2021,Oct-Dec,1002114,6031434,316494,Indigenous,M,Aged 35 to 44 years,Not a youth,XX,,1,Police Category - Administrative,,,,,,1,None,None,None,None,None,117
118,2021,Oct-Dec,1057815,6010917,328129,Black,M,Aged 55 to 64 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,1,None,None,None,None,None,118
119,2021,July-Sept,1032520,6044354,319521,White,M,Aged 25 to 34 years,Not a youth,XX,,1,Assault,,,,,,,None,None,None,None,None,119
120,2021,July-Sept,1037038,6057090,319521,White,M,Aged 25 to 34 years,Not a youth,51,,1,Other Offence,,,,,,,None,None,None,None,None,120
121,2021,Oct-Dec,1046882,6012853,319521,White,M,Aged 25 to 34 years,Not a youth,XX,,,Police Category - Administrative,,,,,,,None,None,None,None,None,121
122,2021,Oct-Dec,1007865,6038390,319521,White,M,Aged 25 to 34 years,Not a youth,XX,,1,Assault,,,,,,1,None,None,None,None,None,122
123,2021,Oct-Dec,1006786,6052039,319521,White,M,Aged 25 to 34 years,Not a youth,XX,,,Fraud,,,,,,,None,None,None,None,None,123
124,2020,Apr-June,1031171,6003055,325815,White,M,Aged 35 to 44 years,Not a youth,52,,1,Assault & Other crimes against persons,,,,,,,None,None,None,None,None,124
125,2020,July-Sept,1048228,6050921,309891,White,M,Aged 18 to 24 years,Not a youth,XX,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,None,None,None,None,None,125
126,2020,Oct-Dec,1018495,6052267,309891,White,M,Aged 18 to 24 years,Not a youth,12,,1,Assault & Other crimes against persons,,,,,1,,None,None,None,None,None,126
127,2021,Jan-Mar,1008808,6032464,309891,White,M,Aged 18 to 24 years,Not a youth,31,,1,Police Category - Incident,,,,,,,None,None,None,None,None,127
128,2021,Apr-June,1024226,6008409,309891,White,M,Aged 18 to 24 years,Not a youth,31,,1,Assault,,1,,,,,None,None,None,None,None,128
129,2021,July-Sept,1023043,6061699,309891,White,M,Aged 18 to 24 years,Not a youth,31,,1,Robbery/Theft,,1,,,,,None,None,None,None,None,129
130,2021,July-Sept,1020668,6004651,309891,White,M,Aged 18 to 24 years,Not a youth,51,,1,LLA,,,,1,,,None,None,None,None,None,130
131,2020,July-Sept,1040280,6008153,333572,Black,M,Aged 35 to 44 years,Not a youth,51,,1,Assault & Other crimes against persons,,,,,,1,None,None,None,None,None,131
132,2020,July-Sept,1041542,6032980,333572,Black,M,Aged 35 to 44 years,Not a youth,51,,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,None,None,None,None,None,132
133,2020,July-Sept,1026871,6032843,320418,Black,M,Aged 18 to 24 years,Not a youth,51,1,1,"FTA/FTC, Compliance Check & Parollee",,,,,,1,1,0,1,0,0,133
134,2021,Jan-Mar,1049623,6000842,320418,Black,M,Aged 18 to 24 years,Not a youth,51,,1,Robbery/Theft,,,,,,,None,None,None,None,None,134
135,2021,Jan-Mar,1048728,6019597,320418,Black,M,Aged 18 to 24 years,Not a youth,XX,,1,Robbery/Theft,,,1,,,,None,None,None,None,None,135
136,2021,Oct-Dec,1051301,6059937,304390,Black,M,Aged 25 to 34 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,136
137,2021,Oct-Dec,1054856,6056498,304390,Black,M,Aged 25 to 34 years,Not a youth,12,,1,Police Category - Administrative,,,,,,1,None,None,None,None,None,137
138,2020,July-Sept,1023612,6014562,315537,White,M,Aged 18 to 24 years,Not a youth,54,1,1,Weapons & Homicide,,,,,,,1,1,1,1,0,138
139,2020,Jan-Mar,1042149,6041007,313162,White,M,Aged 18 to 24 years,Not a youth,52,1,1,Weapons & Homicide,,,,,,1,1,0,0,0,1,139
140,2020,Jan-Mar,1007122,6046048,313162,White,M,Aged 18 to 24 years,Not a youth,51,1,1,Drug Related,,,,,,,0,0,0,1,0,140
141,2020,Apr-June,1008398,6045766,313162,White,M,Aged 18 to 24 years,Not a youth,51,1,1,Drug Related,,,,,,1,1,0,0,1,0,141
142,2020,Apr-June,1047478,6014604,313162,White,M,Aged 18 to 24 years,Not a youth,52,,,Warrant,,,,,,1,None,None,None,None,None,142
143,2020,Oct-Dec,1054224,6017088,301228,Black,F,Aged 18 to 24 years,Not a youth,XX,,1,Weapons & Homicide,,,,,,,None,None,None,None,None,143
144,2021,Apr-June,1032877,6053545,301228,Black,F,Aged 18 to 24 years,Not a youth,22,,,Robbery/Theft,,,,,,1,None,None,None,None,None,144
145,2021,Oct-Dec,1005797,6015074,301228,Black,F,Aged 25 to 34 years,Not a youth,41,,1,Fraud,,,,,,,None,None,None,None,None,145
146,2021,Jan-Mar,1039443,6045429,303727,White,M,Aged 25 to 34 years,Not a youth,23,,,Drug Related,,,,,,1,None,None,None,None,None,146
147,2020,Apr-June,1014892,6052896,336511,Black,M,Aged 18 to 24 years,Not a youth,XX,,,Vehicle Related (inc. Impaired),,,1,,,,None,None,None,None,None,147
148,2021,Jan-Mar,1052363,6036162,309130,Unknown or Legacy,M,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,1,None,None,None,None,None,148
149,2021,Apr-June,1045276,6007309,309130,White,M,Aged 25 to 34 years,Not a youth,XX,,,Other Offence,,,,,,,None,None,None,None,None,149
150,2020,July-Sept,1018222,6029057,300675,White,M,Aged 25 to 34 years,Not a youth,XX,,,Mischief & Fraud,,,,,,,None,None,None,None,None,150
151,2021,July-Sept,1009189,6038206,311081,White,M,Aged 25 to 34 years,Not a youth,XX,,,Robbery/Theft,,,,,,,None,None,None,None,None,151
152,2021,Apr-June,1029902,6029328,316419,South Asian,F,Aged 25 to 34 years,Not a youth,XX,,1,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,152
153,2021,July-Sept,1019996,6034572,316419,East/Southeast Asian,F,Aged 25 to 34 years,Not a youth,XX,,,Mental Health,,,1,1,,,None,None,None,None,None,153
154,2021,July-Sept,1007166,6037142,316419,East/Southeast Asian,F,Aged 25 to 34 years,Not a youth,51,,1,FTA/FTC/Compliance Check/Parollee,,,,,,1,None,None,None,None,None,154
155,2021,July-Sept,1054636,6017577,316419,East/Southeast Asian,F,Aged 25 to 34 years,Not a youth,XX,,,Warrant,,,,,,,None,None,None,None,None,155
156,2021,July-Sept,1053492,6064727,316419,Middle-Eastern,F,Aged 25 to 34 years,Not a youth,51,,1,FTA/FTC/Compliance Check/Parollee,,,,1,,,None,None,None,None,None,156
157,2021,July-Sept,1022647,6011806,316419,Middle-Eastern,F,Aged 25 to 34 years,Not a youth,51,,1,Assault,,,,,,,None,None,None,None,None,157
158,2021,July-Sept,1039415,6031914,316419,South Asian,F,Aged 25 to 34 years,Not a youth,51,1,1,Mischief,,1,,1,,,0,0,1,0,0,158
159,2021,Oct-Dec,1044414,6021105,316419,South Asian,F,Aged 25 to 34 years,Not a youth,XX,,,Assault,,,,,,,None,None,None,None,None,159
160,2021,Oct-Dec,1030455,6028593,316419,Latino,F,Aged 25 to 34 years,Not a youth,51,,1,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,160
161,2021,Oct-Dec,1016422,6029996,316419,Latino,F,Aged 25 to 34 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,161
162,2021,Oct-Dec,1030256,6022822,316419,South Asian,F,Aged 25 to 34 years,Not a youth,XX,,,Warrant,,,,,,,None,None,None,None,None,162
163,2021,Oct-Dec,1059006,6047898,316419,South Asian,F,Aged 25 to 34 years,Not a youth,XX,,,Warrant,,,,,,1,None,None,None,None,None,163
164,2021,Oct-Dec,1010474,6000516,316419,South Asian,F,Aged 25 to 34 years,Not a youth,51,,1,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,164
165,2021,Oct-Dec,1007848,6030051,316419,South Asian,F,Aged 25 to 34 years,Not a youth,XX,,,Warrant,,,,,,,None,None,None,None,None,165
166,2020,Apr-June,1057265,6017229,303808,Black,M,Aged 35 to 44 years,Not a youth,53,,1,Vehicle Related (inc. Impaired),,,,,,1,None,None,None,None,None,166
167,2021,Oct-Dec,1027240,6037228,311373,White,M,Aged 35 to 44 years,Not a youth,XX,,,Robbery/Theft,,,,,,,None,None,None,None,None,167
168,2021,July-Sept,1036445,6058924,317015,Unknown or Legacy,M,Aged 55 to 64 years,Not a youth,XX,,,FTA/FTC/Compliance Check/Parollee,,,,,,,None,None,None,None,None,168
169,2020,July-Sept,1025558,6000343,301611,South Asian,M,Aged 18 to 24 years,Not a youth,43,1,1,Assault & Other crimes against persons,,,,,,,1,1,1,1,0,169
